MB,delay,tcp_size,parallel_buffer,N,run,seconds
10240,20,big,400,3,6,9.91254496574
10240,20,big,400,3,7,9.81596398354
10240,20,big,400,3,8,9.82835102081
10240,20,big,400,3,9,9.93455696106
10240,30,big,4,3,1,10.1056489944
10240,30,big,4,3,2,10.342523098
10240,30,big,4,3,3,10.1499929428
10240,30,big,4,3,4,10.1095671654
10240,30,big,4,3,5,10.0841419697
10240,30,big,4,3,6,10.0966570377
10240,30,big,4,3,7,10.3182139397
10240,30,big,4,3,8,10.1049480438
10240,30,big,4,3,9,10.1396241188
10240,30,big,10,3,1,10.6039049625
10240,30,big,10,3,2,10.4523642063
10240,30,big,10,3,3,10.2663428783
10240,30,big,10,3,4,10.1757171154
10240,30,big,10,3,5,10.1622378826
10240,30,big,10,3,6,10.275290966
10240,30,big,10,3,7,10.0658109188
10240,30,big,10,3,8,10.1591470242
10240,30,big,10,3,9,10.1461839676
10240,30,big,25,3,1,10.7329170704
10240,30,big,25,3,2,10.8496899605
10240,30,big,25,3,3,10.4119980335
10240,30,big,25,3,4,10.5883820057
10240,30,big,25,3,5,10.8704750538
10240,30,big,25,3,6,10.5313498974
10240,30,big,25,3,7,10.9257118702
10240,30,big,25,3,8,11.4196391106
10240,30,big,25,3,9,10.678524971
10240,30,big,50,3,1,10.8935101032
10240,30,big,50,3,2,11.2138168812
10240,30,big,50,3,3,10.9099462032
10240,30,big,50,3,4,10.665612936
10240,30,big,50,3,5,10.8984079361
10240,30,big,50,3,6,11.248664856
10240,30,big,50,3,7,10.5643689632
10240,30,big,50,3,8,11.5433189869
10240,30,big,50,3,9,10.7785811424
10240,30,big,75,3,1,11.000590086
10240,30,big,75,3,2,11.8620738983
10240,30,big,75,3,3,10.5736608505
10240,30,big,75,3,4,10.6698570251
10240,30,big,75,3,5,10.8511440754
10240,30,big,75,3,6,10.5909948349
10240,30,big,75,3,7,11.7225379944
10240,30,big,75,3,8,13.2260689735
10240,30,big,75,3,9,11.2905228138
10240,30,big,100,3,1,11.4780058861
10240,30,big,100,3,2,10.962980032
10240,30,big,100,3,3,11.0875468254
10240,30,big,100,3,4,11.0473980904
10240,30,big,100,3,5,10.6164488792
10240,30,big,100,3,6,10.9536941051
10240,30,big,100,3,7,11.188380003
10240,30,big,100,3,8,11.0009429455
10240,30,big,100,3,9,11.1719040871
10240,30,big,200,3,1,11.370675087
10240,30,big,200,3,2,11.1450238228
10240,30,big,200,3,3,11.1792030334
10240,30,big,200,3,4,11.2017168999
10240,30,big,200,3,5,11.4552750587
10240,30,big,200,3,6,10.8590710163
10240,30,big,200,3,7,10.7404520512
10240,30,big,200,3,8,11.185739994
10240,30,big,200,3,9,10.6538209915
10240,30,big,400,3,1,11.0429158211
10240,30,big,400,3,2,10.9414918423
10240,30,big,400,3,3,10.9501769543
10240,30,big,400,3,4,11.0830419064
10240,30,big,400,3,5,11.1134700775
10240,30,big,400,3,6,10.5866320133
10240,30,big,400,3,7,10.6263129711
10240,30,big,400,3,8,10.8792350292
10240,30,big,400,3,9,10.5755708218
10240,40,big,4,3,1,11.2723710537
10240,40,big,4,3,2,11.2602770329
10240,40,big,4,3,3,11.2285950184
10240,40,big,4,3,4,11.3595337868
10240,40,big,4,3,5,11.3048579693
10240,40,big,4,3,6,11.3095240593
10240,40,big,4,3,7,11.4139399529
10240,40,big,4,3,8,11.283769846
10240,40,big,4,3,9,13.9490380287
10240,40,big,10,3,1,11.5646941662
10240,40,big,10,3,2,11.8435370922
10240,40,big,10,3,3,11.3995468616
10240,40,big,10,3,4,11.5732839108
10240,40,big,10,3,5,11.557019949
10240,40,big,10,3,6,11.8103299141
10240,40,big,10,3,7,11.4392418861
10240,40,big,10,3,8,11.3963577747
10240,40,big,10,3,9,11.3354001045
10240,40,big,25,3,1,14.6636629105
10240,40,big,25,3,2,11.9026432037
10240,40,big,25,3,3,12.0152239799
10240,40,big,25,3,4,11.7095599174
10240,40,big,25,3,5,11.8565402031
10240,40,big,25,3,6,11.9063010216
10240,40,big,25,3,7,11.7931678295
10240,40,big,25,3,8,11.7061779499
10240,40,big,25,3,9,12.1428790092
10240,40,big,50,3,1,12.1096000671
10240,40,big,50,3,2,19.5499289036
10240,40,big,50,3,3,12.3524959087
10240,40,big,50,3,4,12.2476949692
10240,40,big,50,3,5,12.1891689301
10240,40,big,50,3,6,12.1453208923
10240,40,big,50,3,7,12.5045759678
10240,40,big,50,3,8,12.1961629391
10240,40,big,50,3,9,12.5798120499
10240,40,big,75,3,1,12.3562629223
10240,40,big,75,3,2,12.7134609222
10240,40,big,75,3,3,12.320950985
10240,40,big,75,3,4,12.194945097
10240,40,big,75,3,5,12.1880609989
10240,40,big,75,3,6,12.4969000816
10240,40,big,75,3,7,12.3669810295
10240,40,big,75,3,8,12.2073459625
10240,40,big,75,3,9,12.548913002
10240,40,big,100,3,1,12.1992311478
10240,40,big,100,3,2,12.1191308498
10240,40,big,100,3,3,12.2422909737
10240,40,big,100,3,4,12.5847558975
10240,40,big,100,3,5,12.3798520565
10240,40,big,100,3,6,12.1268339157
10240,40,big,100,3,7,12.4223921299
10240,40,big,100,3,8,12.3363618851
10240,40,big,100,3,9,12.1265618801
10240,40,big,200,3,1,12.0812458992
10240,40,big,200,3,2,12.2435908318
10240,40,big,200,3,3,12.2547590733
10240,40,big,200,3,4,12.3711309433
10240,40,big,200,3,5,12.0535650253
10240,40,big,200,3,6,12.2270491123
10240,40,big,200,3,7,12.5577609539
10240,40,big,200,3,8,11.9515738487
10240,40,big,200,3,9,12.4801449776
10240,40,big,400,3,1,12.553965807
10240,40,big,400,3,2,12.2630119324
10240,40,big,400,3,3,12.2489249706
10240,40,big,400,3,4,12.426913023
10240,40,big,400,3,5,12.2526299953
10240,40,big,400,3,6,12.2292969227
10240,40,big,400,3,7,12.8107829094
10240,40,big,400,3,8,12.9257071018
10240,40,big,400,3,9,12.1130270958
10240,50,big,4,3,1,12.4733419418
10240,50,big,4,3,2,12.4074780941
10240,50,big,4,3,3,13.1515579224
10240,50,big,4,3,4,21.2636020184
10240,50,big,4,3,5,12.4088079929
10240,50,big,4,3,6,15.9788370132
10240,50,big,4,3,7,13.0659940243
10240,50,big,4,3,8,16.5077311993
10240,50,big,4,3,9,12.3515300751
10240,50,big,10,3,1,12.5092680454
10240,50,big,10,3,2,12.5708620548
10240,50,big,10,3,3,12.8537831306
10240,50,big,10,3,4,13.3645689487
10240,50,big,10,3,5,13.326613903
10240,50,big,10,3,6,13.3847160339
10240,50,big,10,3,7,16.0777618885
10240,50,big,10,3,8,13.3605139256
10240,50,big,10,3,9,12.6576690674
10240,50,big,25,3,1,13.8749039173
10240,50,big,25,3,2,13.426612854
10240,50,big,25,3,3,13.2514009476
10240,50,big,25,3,4,13.1014230251
10240,50,big,25,3,5,14.020950079
10240,50,big,25,3,6,13.8018000126
10240,50,big,25,3,7,13.986497879
10240,50,big,25,3,8,13.0201439857
10240,50,big,25,3,9,13.1184620857
10240,50,big,50,3,1,13.4981598854
10240,50,big,50,3,2,13.4959490299
10240,50,big,50,3,3,13.4009788036
10240,50,big,50,3,4,13.3286762238
10240,50,big,50,3,5,14.3578429222
10240,50,big,50,3,6,13.4848530293
10240,50,big,50,3,7,14.2805650234
10240,50,big,50,3,8,13.4440629482
10240,50,big,50,3,9,13.7875909805
10240,50,big,75,3,1,13.5686841011
10240,50,big,75,3,2,13.6143600941
